Wavelength	S1c / R1c	Wavelength	S1	Wavelength	R1
nm	CPS / MicroAmps	nm	CPS	nm	MicroAmps
380	521.812566130232	380	4666	380	12.10383211595
382	1844.58515161995	382	15388	382	12.4479076394431
384	3843.66958655542	384	31890	384	12.7898052698786
386	5994.65388888771	386	50026	386	13.1286205929423
388	7395.10328469852	388	62528	388	13.5143726114092
390	7994.80427236554	390	68726	390	13.9312479324615
392	8461.40259141438	392	74034	392	14.3679746325017
394	8441.26237374177	394	75242	394	14.8237179093009
396	8414.58228623747	396	75856	396	15.17886262859
398	8278.00863463223	398	74798	398	15.3955256856762
400	8119.25789624883	400	72826	400	15.4535470467926
402	8009.86367538017	402	71316	402	15.4998073729936
404	7803.6711868763	404	69178	404	15.5854774395985
406	7577.02521152494	406	67350	406	15.7754140445953
408	7354.77567307113	408	65596	408	15.9748695336745
410	7234.99840373978	410	64802	410	16.1886878520494
412	6954.89433743063	412	62360	412	16.346713605649
414	6727.96123478509	414	60316	414	16.4837982097751
416	6572.66899516783	416	59194	416	16.6992175657149
418	6326.99157218772	418	57386	418	16.9561844549834
420	6159.09208833972	420	55972	420	17.1299525056239
422	5966.23888502549	422	53760	422	17.1236217440348
424	5799.74655268095	424	51732	424	17.0879488443747
426	5564.28541677683	426	49406	426	17.138834146067
428	5396.13161962177	428	47758	428	17.2049182511589
430	5233.0165595388	430	46314	430	17.3161454827677
432	5000.71913743051	432	44304	432	17.4331889618159
434	4782.6134507034	434	42686	434	17.6589715133443
436	4612.35220852961	436	41642	436	17.9622954207064
438	4301.05562934201	438	39260	438	18.2557291793453
440	4109.8792710637	440	37616	440	18.4078772719324
442	3921.68895723463	442	35770	442	18.4474498907509
444	3682.88145407517	444	33544	444	18.5168281608144
446	3480.15391846742	446	32438	446	19.0467814946875
448	3251.89406840364	448	31610	448	19.9593628480682
450	2957.66507575254	450	29742	450	20.7322501979621
452	2770.75669348059	452	27728	452	20.7153113067074
454	2562.65991115779	454	25310	454	20.5117231883183
456	2397.21104353092	456	23802	456	20.6893043614393
458	2208.28613806146	458	22506	458	21.3045007599729
460	2024.88657927323	460	21290	460	22.0414616823799
462	1843.35534207432	462	20084	462	22.9039231393261
464	1689.31784636695	464	19252	464	24.0409088338141
466	1514.02061303	466	18112	466	25.3185920351862
468	1339.50759410626	468	16380	468	25.9485880305846
470	1216.79141227411	470	14584	470	25.4856445219993
472	1081.20636925296	472	12354	472	24.277371585319
474	965.56755351686	474	10338	474	22.6827016350676
476	874.606859466956	476	8860	476	21.381138905376
478	825.826310506135	478	8214	478	20.9780430884361
480	733.207499368855	480	7526	480	21.5934251192901
482	637.180357239827	482	6686	482	21.9501403219455
484	602.169575967503	484	6216	484	21.5371014754241
486	527.069090782646	486	5320	486	20.8158763315033
488	479.516293120352	488	4840	488	20.6658420572323
490	455.329712288753	490	4708	490	21.1690124204625
492	386.524462913689	492	4132	492	21.5936491915511
494	378.924251590665	494	3988	494	21.2368995528613
496	335.874886653608	496	3474	496	20.5012236157795
498	308.990205065854	498	3154	498	19.9568537050532
500	308.62434375994	500	3122	500	19.8098810884343
502	271.325844332836	502	2796	502	19.7887590917965
504	268.299329190428	504	2758	504	19.746088218647
506	250.529736395439	506	2594	506	19.6708152099347
508	249.057715033692	508	2570	508	19.627765857789
510	234.674681189254	510	2444	510	19.6267730843718
512	205.145006156386	512	2198	512	19.6675966553131
514	198.361432670314	514	2134	514	19.6409808477527
516	194.448857242513	516	2094	516	19.6122418102553
518	175.993166646164	518	1936	518	19.5742889301732
520	178.633663233615	520	1950	520	19.5375829128586
522	171.481186194151	522	1884	522	19.4791676064377
524	169.463755894203	524	1860	524	19.4231546315107
526	177.753561268775	526	1918	526	19.3685111267704
528	162.779436566198	528	1792	528	19.3125514721547
530	179.546868575867	530	1914	530	19.2311344083925
532	180.818638199544	532	1916	532	19.1782340310579
534	217.574201271712	534	2190	534	19.0994693354054
536	244.518243236403	536	2386	536	19.0304696542013
538	265.917470938652	538	2538	538	18.9676488913277
