Wavelength	S1c	Wavelength	S1
nm	CPS	nm	CPS
380	1468.05056977272	380	1700
382	1852.09367051125	382	2088
384	2658.82504920959	384	2898
386	12492.7499119759	386	12540
388	96040.5107316971	388	94502
390	406631.986624241	390	400148
392	1132112.36948013	392	1116684
394	2264544.78687429	394	2239796
396	3376037.85459213	396	3340374
398	4067749.3462182	398	4016480
400	4164648.41492558	400	4103756
402	3723998.63517437	402	3664024
404	2822916.14616852	404	2773330
406	1618361.10489235	406	1588570
408	613853.146657372	408	602526
410	116679.365520954	410	114744
412	15369.0653064728	412	15374
414	5594.57774505615	414	5794
416	3413.87486495972	416	3660
418	2978.26495275497	418	3236
420	2722.99131298065	420	2988
422	2596.64082527161	422	2872
424	2075.07687950134	424	2366
426	1967.29348063469	426	2264
428	1877.81172943115	428	2178
430	1925.97405934334	430	2228
432	1791.32881941795	432	2100
434	1910.58463568687	434	2224
436	1951.46928339005	436	2268
438	2018.80876073837	438	2336
440	2144.2046880722	440	2462
442	2326.95593147278	442	2646
444	2411.39544630051	444	2732
446	2578.90031003952	446	2896
448	2828.76270103455	448	3136
450	2991.47364664078	450	3288
452	3608.51383037567	452	3880
454	4013.95624237061	454	4258
456	4609.14434814453	456	4818
458	5345.07219982147	458	5510
460	6228.88555908203	460	6338
462	7287.49328556061	462	7324
464	8467.61619815826	464	8416
466	9531.57121610641	466	9380
468	10993.8778066635	468	10702
470	12693.9136228561	470	12230
472	14933.0755210876	472	14194
474	16833.0049115181	474	15808
476	19296.1042335987	476	17888
478	21529.3274027348	478	19700
480	24992.1679263115	480	22566
482	28425.5385758877	482	25364
484	31666.78723526	484	27938
486	35488.4855864525	486	30956
488	39458.8315689087	488	34034
490	43514.8815155029	490	37122
492	48155.1882598877	492	40706
494	53742.2516292572	494	45018
496	58104.3143827915	496	48216
498	63591.8259525299	498	52242
500	68589.2973020077	500	55796
502	73020.0528100014	502	58790
504	78728.7928783417	504	62738
506	83803.6247180939	506	66090
508	88253.9588269234	508	68868
510	94885.3874931335	510	73266
512	99811.7166992188	512	76098
514	104697.557255363	514	78830
516	110179.504119968	516	81950
518	114310.467909861	518	84020
520	117537.591812849	520	85388
522	121210.518488646	522	86932
524	124575.514273024	524	88220
526	128870.389011383	526	90082
528	130065.837346125	528	89724
530	132718.610649347	530	90364
532	135504.794251108	532	90888
534	137779.791931772	534	91060
536	139482.638848114	536	90826
538	139809.328102875	538	89690
540	140915.140508652	540	89078
542	142353.942124558	542	88714
544	141247.785583496	544	86802
546	139645.444621277	546	84530
548	139756.684202576	548	83234
550	137536.274642944	550	80618
552	137799.04417038	552	79418
554	135716.887874603	554	76934
556	134350.508315468	556	74906
558	131473.452187347	558	72098
560	128567.260751247	560	69366
562	128135.408445597	562	67972
564	125803.860771847	564	65638
566	121879.514303589	566	62550
568	118215.811880493	568	59678
570	115544.718215942	570	57390
572	113903.631923676	572	55516
574	110455.193939209	574	52852
576	107791.899784088	576	50682
578	103513.853924561	578	47874
580	101842.094578743	580	46336
582	97957.8431642532	582	43828
584	95182.0990549088	584	41888
586	92607.1933396339	586	40068
588	89208.557443428	588	37934
590	85061.7453331947	590	35564
592	82536.5156770706	592	33934
594	78351.1598150253	594	31694
596	77036.447660923	596	30648
598	74164.1851286888	598	29024
600	71481.1902494431	600	27526
602	68268.6681575775	602	25786
604	65964.1027612686	604	24446
606	62490.2599304199	606	22718
608	60771.6825843811	608	21656
610	58225.7117843628	610	20352
612	55734.3981933594	612	19082
614	53414.3859863281	614	17922
616	50103.438890934	616	16468
618	48841.3118314743	618	15702
620	46474.204293251	620	14630
622	44288.3085082054	622	13636
624	43540.1443979263	624	13110
626	41616.755355835	626	12254
628	39467.8165416718	628	11360
630	37117.9232406616	630	10454
632	35995.5767612457	632	9942
634	33509.5041252136	634	9094
636	32615.1536647797	636	8714
638	32552.3176031113	638	8582
640	29230.780371666	640	7638
642	28508.6599416733	642	7342
644	27582.6356866837	644	7006
646	25870.1522008896	646	6480
648	24420.2628993988	648	6022
650	23523.0818414688	650	5708
652	23198.8606115341	652	5508
654	22301.0777845383	654	5192
656	21432.0919670105	656	4890
658	19416.7909435272	658	4358
660	18872.0795001984	660	4150
662	18059.7679286957	662	3886
664	16852.2991765976	664	3560
666	16442.2651155472	666	3396
668	15433.305332756	668	3128
670	15970.8566522598	670	3148
672	14835.2621618271	672	2868
674	13721.4408742905	674	2608
676	14022.5506175995	676	2590
678	13818.770945549	678	2492
680	12752.9396753311	680	2268
682	12504.7813774109	682	2170
684	12661.5408102036	684	2136
686	11464.9672080994	686	1914
688	11207.1402820587	688	1830
690	10420.2774429321	690	1682
692	10715.647310257	692	1678
694	10145.9547605515	694	1568
696	10291.6335784912	696	1548
698	9973.29594726562	698	1474
